,Link,Title,Price,Type,Badrooms,Bathrooms,Guests
0,https://www.airbnb.it/rooms/43620393?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_MpL79fbyfMrEfMgz&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,loft indipendente in centro,54€,Bilocale,1,1,2
1,https://www.airbnb.it/rooms/890942391491384731?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_XMSS4kqDUSrzl19%2F&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Repubblica appartamento design con 2 camere letto,102€,Trilocale,2,1,4
2,https://www.airbnb.it/rooms/7574547?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_XAx%2FXdYGoDnkU1cd&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Colorata Mansarda-Teatro Lirico (spiaggia 20 min),68€,Trilocale,2,1,4
3,https://www.airbnb.it/rooms/33369767?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_mhZyreFh3NGv8JK7&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Casa Crizia,110€,Trilocale,2,1,4
4,https://www.airbnb.it/rooms/964339085642889872?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_CO3H%2BOY08n408%2F2r&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,[Centro città]5min[Poetto]10 min•[Wi-Fi Netflix],85€,Bilocale,1,1,4
5,https://www.airbnb.it/rooms/50865213?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_IGKgX8pM15jep0Gk&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Le stanze di elisa,71€,Bilocale,1,1,2
6,https://www.airbnb.it/rooms/37266904?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_y%2BE41mJV9IqgBlf%2B&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,The Silvia 's Place IUN P1844,139€,Quadrilocale,2,2,4
7,https://www.airbnb.it/rooms/622165515313540716?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_ZwmtqRWVPYDbuW10&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Nuovo appartamento nel cuore di Cagliari,129€,Trilocale,2,1,4
8,https://www.airbnb.it/rooms/630357758019073923?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_XS0r2seiAxsqX45S&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Appartamento con posto auto e balcone centro città,94€,Bilocale,1,1,4
9,https://www.airbnb.it/rooms/986954931340925465?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_sCGQ2xzZb46PkZX1&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Piccolo bivano in centro,82€,Bilocale,1,1,4
10,https://www.airbnb.it/rooms/20264994?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_trxSVLFM9FqUSB74&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Central - The Sunny Flat,75€,Trilocale,2,1,7
11,https://www.airbnb.it/rooms/36553179?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-21&check_out=2023-12-25&source_impression_id=p3_1697831475_YmrcDBb8ZXqVp1IV&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Sa Martinica,57€,Monolocale,1,1,3
12,https://www.airbnb.it/rooms/8432636?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-23&check_out=2023-12-25&source_impression_id=p3_1697831475_P%2BDxpC9tvbiU4kTU&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Panorama lirico,76€,Altro,4,2,9
13,https://www.airbnb.it/rooms/52067471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-21&check_out=2023-12-24&source_impression_id=p3_1697831475_A1wLpYx%2BqhmaoRr5&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Domu Genneruxi,96€,Bilocale,1,1,4
14,https://www.airbnb.it/rooms/43620393?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_MpL79fbyfMrEfMgz&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,loft indipendente in centro,54€,Bilocale,1,1,2
15,https://www.airbnb.it/rooms/890942391491384731?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_XMSS4kqDUSrzl19%2F&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Repubblica appartamento design con 2 camere letto,102€,Trilocale,2,1,4
16,https://www.airbnb.it/rooms/7574547?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_XAx%2FXdYGoDnkU1cd&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Colorata Mansarda-Teatro Lirico (spiaggia 20 min),68€,Trilocale,2,1,4
17,https://www.airbnb.it/rooms/33369767?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_mhZyreFh3NGv8JK7&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Casa Crizia,110€,Trilocale,2,1,4
18,https://www.airbnb.it/rooms/964339085642889872?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_CO3H%2BOY08n408%2F2r&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,[Centro città]5min[Poetto]10 min•[Wi-Fi Netflix],85€,Bilocale,1,1,4
19,https://www.airbnb.it/rooms/50865213?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_IGKgX8pM15jep0Gk&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Le stanze di elisa,71€,Bilocale,1,1,2
20,https://www.airbnb.it/rooms/37266904?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_y%2BE41mJV9IqgBlf%2B&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,The Silvia 's Place IUN P1844,139€,Quadrilocale,2,2,4
21,https://www.airbnb.it/rooms/622165515313540716?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_ZwmtqRWVPYDbuW10&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Nuovo appartamento nel cuore di Cagliari,129€,Trilocale,2,1,4
22,https://www.airbnb.it/rooms/630357758019073923?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_XS0r2seiAxsqX45S&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Appartamento con posto auto e balcone centro città,94€,Bilocale,1,1,4
23,https://www.airbnb.it/rooms/986954931340925465?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_sCGQ2xzZb46PkZX1&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Piccolo bivano in centro,82€,Bilocale,1,1,4
24,https://www.airbnb.it/rooms/20264994?check_in=2023-12-22&check_out=2023-12-24&source_impression_id=p3_1697831475_trxSVLFM9FqUSB74&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Central - The Sunny Flat,75€,Trilocale,2,1,7
25,https://www.airbnb.it/rooms/36553179?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-21&check_out=2023-12-25&source_impression_id=p3_1697831475_YmrcDBb8ZXqVp1IV&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Sa Martinica,57€,Monolocale,1,1,3
26,https://www.airbnb.it/rooms/8432636?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-12-23&check_out=2023-12-25&source_impression_id=p3_1697831475_P%2BDxpC9tvbiU4kTU&previous_page_section_name=1000&federated_search_id=51225c4e-8aad-44dd-a07b-da83cd9ee2d2,Panorama lirico,76€,Altro,4,2,9
